Reporting date,Card Type,Category,Series Description,Sector,Sub-sector, ObservationType , Observation Scale,Value
2020-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,79942
2020-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,20897
2020-02,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5805940
2020-02,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4927154
2020-02,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1352363
2020-02,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3574791
2020-02,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,878786
2020-02,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,672933
2020-02,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,205853
2020-02,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,1988623
2020-02,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1523824
2020-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,345168
2020-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,119631
2020-02,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,272876
2020-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,179373
2020-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,54225
2020-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,125148
2020-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,93503
2020-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,71994
2020-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,21509
2020-03,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5770436
2020-03,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5011187
2020-03,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1222969
2020-03,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3788218
2020-03,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,759249
2020-03,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,601483
2020-03,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,157766
2020-03,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,1939854
2020-03,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1552569
2020-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,296151
2020-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,91134
2020-03,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,182170
2020-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,130457
2020-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,40104
2020-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,90353
2020-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,51713
2020-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,42952
2020-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,8761
2020-04,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4204918
2020-04,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3716560
2020-04,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,710309
2020-04,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3006251
2020-04,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,488358
2020-04,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,404100
2020-04,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,84258
2020-04,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,1877321
2020-04,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1543533
2020-04,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,273560
2020-04,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,60228
2020-04,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,70341
2020-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,49583
2020-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,15672
2020-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,33911
2020-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,20758
2020-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,19488
2020-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,1270
2020-05,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4849465
2020-05,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4268877
2020-05,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,825691
2020-05,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3443186
2020-05,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,580588
2020-05,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,476976
2020-05,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,103612
2020-05,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2064041
2020-05,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1689357
2020-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,304257
2020-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,70427
2020-05,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,87949
2020-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,62277
2020-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,19580
2020-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,42697
2020-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,25672
2020-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,23794
2020-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,1878
2020-06,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6111611
2020-06,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5354317
2020-06,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1021611
2020-06,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4332706
2020-06,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,757294
2020-06,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,623038
2020-06,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,134256
2020-06,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2332677
2020-06,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1902259
2020-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,343657
2020-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,86761
2020-06,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,123538
2020-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,90903
2020-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,26315
2020-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,64588
2020-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,32635
2020-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,29820
2020-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,2815
2020-07,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6600276
2020-07,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5752518
2020-07,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1183720
2020-07,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4568798
2020-07,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,847758
2020-07,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,688296
2020-07,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,159462
2020-07,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2292023
2020-07,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1863302
2020-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,326752
2020-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,101969
2020-07,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,178149
2020-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,135407
2020-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,37986
2020-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,97421
2020-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,42742
2020-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,38344
2020-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,4398
2020-08,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6509673
2020-08,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5686777
2020-08,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1132914
2020-08,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4553863
2020-08,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,822896
2020-08,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,688113
2020-08,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,134783
2020-08,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2188358
2020-08,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1800822
2020-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,308236
2020-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,79300
2020-08,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,203442
2020-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,158142
2020-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,42892
2020-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,115250
2020-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,45300
2020-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,40712
2020-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,4588
2020-09,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6466829
2020-09,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5617669
2020-09,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1126669
2020-09,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4490999
2020-09,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,849160
2020-09,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,700635
2020-09,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,148525
2020-09,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2389407
2020-09,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,1940319
2020-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,358518
2020-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,90570
2020-09,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,172595
2020-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,130944
2020-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,35686
2020-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,95258
2020-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,41651
2020-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,36465
2020-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,5186
2020-10,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6334228
2020-10,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5500236
2020-10,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1061179
2020-10,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4439057
2020-10,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,833992
2020-10,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,687803
2020-10,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,146189
2020-10,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2475642
2020-10,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2010231
2020-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,373567
2020-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,91844
2020-10,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,146600
2020-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,105658
2020-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,29104
2020-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,76554
2020-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,40942
2020-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,35772
2020-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,5170
2020-11,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6472506
2020-11,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5580663
2020-11,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,974965
2020-11,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4605698
2020-11,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,891843
2020-11,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,727817
2020-11,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,164026
2020-11,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,3025739
2020-11,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2430576
2020-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,483194
2020-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,111969
2020-11,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,148604
2020-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,104001
2020-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,26973
2020-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,77028
2020-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,44603
2020-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,40882
2020-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,3721
2020-12,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,7808014
2020-12,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,6802465
2020-12,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1252653
2020-12,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,5549813
2020-12,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,1005549
2020-12,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,821745
2020-12,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,183804
2020-12,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2739965
2020-12,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2235706
2020-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,398684
2020-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,105575
2020-12,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,161746
2020-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,121839
2020-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,31580
2020-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,90259
2020-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,39907
2020-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,36129
2020-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,3778
2021-01,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5130771
2021-01,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4480625
2021-01,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,754956
2021-01,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3725668
2021-01,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,650146
2021-01,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,528867
2021-01,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,121279
2021-01,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2475636
2021-01,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2028656
2021-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,357672
2021-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,89308
2021-01,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,111623
2021-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,83817
2021-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,25333
2021-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,58484
2021-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,27806
2021-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,25129
2021-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,2677
2021-02,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5307442
2021-02,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4661566
2021-02,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,810173
2021-02,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3851393
2021-02,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,645876
2021-02,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,523912
2021-02,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,121964
2021-02,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2439419
2021-02,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2011990
2021-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,339984
2021-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,87445
2021-02,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,110208
2021-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,82965
2021-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,24975
2021-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,57990
2021-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,27243
2021-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,24338
2021-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,2905
2021-03,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6524864
2021-03,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5722545
2021-03,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1001467
2021-03,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4721077
2021-03,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,802319
2021-03,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,653049
2021-03,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,149270
2021-03,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2870199
2021-03,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2361049
2021-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,404066
2021-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,105084
2021-03,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,122357
2021-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,89215
2021-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,30009
